YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2009,35,1074,1,0,1,122,7,0,0,12.1974
2009,36,1456,0,0,1,169,14,0,0,12.6374
2009,37,1497,0,0,0,251,13,2,0,17.7689
2009,38,1543,0,6,3,286,27,3,0,21.0629
2009,39,1120,0,0,0,450,12,0,0,41.25
2009,40,1847,0,2,0,693,105,0,0,43.3135
2009,41,3796,0,3,0,1544,155,1,0,44.863
2009,42,4892,0,2,0,2348,384,2,0,55.928
2009,43,4099,0,4,1,1680,307,3,0,48.6704
2009,44,3266,0,0,0,1215,165,1,0,42.2841
2009,45,2756,1,3,0,1135,101,0,0,44.9927
2009,46,1865,1,14,0,356,54,1,0,22.8418
2009,47,1261,0,5,0,150,28,0,0,14.5123
2009,48,1053,0,1,0,52,9,1,0,5.98291
2009,49,1052,0,5,1,39,4,1,0,4.75285
2009,50,863,0,3,2,31,2,0,0,4.40324
2009,51,747,0,0,0,18,1,0,0,2.54351
2009,52,805,0,0,0,14,2,0,0,1.98758
2010,1,753,0,0,1,22,4,3,0,3.98406
2010,2,716,0,0,2,22,0,2,0,3.63128
2010,3,725,0,0,0,14,1,0,0,2.06897
2010,4,725,0,0,0,5,0,0,0,0.689655
2010,5,716,0,0,0,6,0,0,0,0.837989
2010,6,367,0,0,0,9,0,0,0,2.45232
2010,7,677,0,0,0,10,0,0,0,1.4771
2010,8,604,0,0,0,5,0,0,0,0.827815
2010,9,590,0,0,0,14,0,0,0,2.37288
2010,10,622,0,0,0,10,1,0,0,1.76849
2010,11,529,0,0,1,8,3,0,0,2.26843
2010,12,486,0,0,0,12,0,0,0,2.46914
2010,13,533,0,0,1,9,0,0,0,1.87617
2010,14,431,0,0,0,3,0,0,0,0.696056
2010,15,393,0,0,0,0,0,0,0,0
2010,16,391,0,0,1,3,0,0,0,1.02302
2010,17,386,0,0,0,0,0,0,0,0
2010,18,386,0,0,0,3,0,0,0,0.777202
2010,19,335,0,0,0,1,0,0,0,0.298507
2010,20,328,0,0,0,0,0,0,0,0
2010,21,357,0,0,0,0,0,0,0,0
2010,22,252,0,0,0,0,0,0,0,0
2010,23,301,0,0,0,0,0,0,0,0
2010,24,172,0,0,0,0,0,0,0,0
2010,25,286,0,0,1,0,0,0,0,0.34965
2010,26,274,0,0,0,0,0,0,0,0
2010,27,207,0,0,1,0,0,0,0,0.483092
2010,28,197,0,0,0,0,0,0,0,0
2010,29,195,0,0,1,0,0,0,0,0.512821
2010,30,216,0,0,0,0,0,0,0,0
2010,31,238,0,0,2,0,0,0,0,0.840336
2010,32,279,0,0,0,1,0,8,0,3.22581
2010,33,223,0,0,1,1,0,0,0,0.896861
2010,34,262,0,0,3,0,0,0,0,1.14504
2010,35,284,0,0,3,0,0,0,0,1.05634
2010,36,290,0,0,0,0,1,0,0,0.344828
2010,37,324,1,0,6,0,0,0,0,2.16049
2010,38,411,0,0,0,0,0,1,0,0.243309
2010,39,373,0,0,3,0,0,0,0,0.80429
